ls6500: Output directed to terminal and Log/Pre-irrad_3_141029_201411051631_462407.log
initialize ls6500
dataDir /Users/djaffe/work/GIT/LINDSEY/TechMaturation2014/LS6500/Pre-irrad_3_141029/ 
dataSubDir Pre-irrad_3_141029/
initialize spreadsheetReader
ls6500.Main: pickMode put
ls6500.processHeader: Found 192 total samples
ls6500.matchVialMeas: remove summary file MeasurementNo00187.xls from list
            Position          Sample Measurements
       S1_Position01         STD_3_H ['Pre-irrad_3_141029/MeasurementNo00001.xls']
       S1_Position02       0050_1F13 ['Pre-irrad_3_141029/MeasurementNo00002.xls']
       S1_Position03       0052_1F14 ['Pre-irrad_3_141029/MeasurementNo00003.xls']
       S1_Position04       0050_2F13 ['Pre-irrad_3_141029/MeasurementNo00004.xls']
       S1_Position05       0052_2F14 ['Pre-irrad_3_141029/MeasurementNo00005.xls']
       S1_Position06       0050_3F13 ['Pre-irrad_3_141029/MeasurementNo00006.xls']
       S1_Position07       0052_3F14 ['Pre-irrad_3_141029/MeasurementNo00007.xls']
       S1_Position08       0050_4F13 ['Pre-irrad_3_141029/MeasurementNo00008.xls']
       S1_Position09       0052_4F14 ['Pre-irrad_3_141029/MeasurementNo00009.xls']
       S1_Position10       0100_1F15 ['Pre-irrad_3_141029/MeasurementNo00010.xls']
       S1_Position11       0102_1F25 ['Pre-irrad_3_141029/MeasurementNo00011.xls']
       S1_Position12       0100_2F15 ['Pre-irrad_3_141029/MeasurementNo00012.xls']
       S2_Position01       0102_2F25 ['Pre-irrad_3_141029/MeasurementNo00013.xls']
       S2_Position02        STD_14_C ['Pre-irrad_3_141029/MeasurementNo00014.xls']
       S2_Position03       0100_3F15 ['Pre-irrad_3_141029/MeasurementNo00015.xls']
       S2_Position04       0102_3F25 ['Pre-irrad_3_141029/MeasurementNo00016.xls']
       S2_Position05       0100_4F15 ['Pre-irrad_3_141029/MeasurementNo00017.xls']
       S2_Position06       0102_4F25 ['Pre-irrad_3_141029/MeasurementNo00018.xls']
       S2_Position07       0140_1F23 ['Pre-irrad_3_141029/MeasurementNo00019.xls']
       S2_Position08       0142_1F33 ['Pre-irrad_3_141029/MeasurementNo00020.xls']
       S2_Position09       0140_2F23 ['Pre-irrad_3_141029/MeasurementNo00021.xls']
       S2_Position10       0142_2F33 ['Pre-irrad_3_141029/MeasurementNo00022.xls']
       S2_Position11       0140_3F23 ['Pre-irrad_3_141029/MeasurementNo00023.xls']
       S2_Position12       0142_3F33 ['Pre-irrad_3_141029/MeasurementNo00024.xls']
       S3_Position01       0140_4F23 ['Pre-irrad_3_141029/MeasurementNo00025.xls']
       S3_Position02       0142_4F33 ['Pre-irrad_3_141029/MeasurementNo00026.xls']
       S3_Position03           EMPTY ['Pre-irrad_3_141029/MeasurementNo00027.xls']
       S3_Position04       1000_1F34 ['Pre-irrad_3_141029/MeasurementNo00028.xls']
       S3_Position05       1002_1F35 ['Pre-irrad_3_141029/MeasurementNo00029.xls']
       S3_Position06       1000_2F34 ['Pre-irrad_3_141029/MeasurementNo00030.xls']
       S3_Position07       1002_2F35 ['Pre-irrad_3_141029/MeasurementNo00031.xls']
       S3_Position08       1000_3F34 ['Pre-irrad_3_141029/MeasurementNo00032.xls']
       S3_Position09       1002_3F35 ['Pre-irrad_3_141029/MeasurementNo00033.xls']
       S3_Position10       1000_4F34 ['Pre-irrad_3_141029/MeasurementNo00034.xls']
       S3_Position11       1002_4F35 ['Pre-irrad_3_141029/MeasurementNo00035.xls']
       S3_Position12       0050_1R13 ['Pre-irrad_3_141029/MeasurementNo00036.xls']
       S4_Position01       0052_1R14 ['Pre-irrad_3_141029/MeasurementNo00037.xls']
       S4_Position02       0050_2R13 ['Pre-irrad_3_141029/MeasurementNo00038.xls']
       S4_Position03       0052_2R14 ['Pre-irrad_3_141029/MeasurementNo00039.xls']
       S4_Position04           EMPTY ['Pre-irrad_3_141029/MeasurementNo00040.xls']
       S4_Position05       0050_3R13 ['Pre-irrad_3_141029/MeasurementNo00041.xls']
       S4_Position06       0052_3R14 ['Pre-irrad_3_141029/MeasurementNo00042.xls']
       S4_Position07       0050_4R13 ['Pre-irrad_3_141029/MeasurementNo00043.xls']
       S4_Position08       0052_4R14 ['Pre-irrad_3_141029/MeasurementNo00044.xls']
       S4_Position09       0100_1R15 ['Pre-irrad_3_141029/MeasurementNo00045.xls']
       S4_Position10       0102_1R25 ['Pre-irrad_3_141029/MeasurementNo00046.xls']
       S4_Position11       0100_2R15 ['Pre-irrad_3_141029/MeasurementNo00047.xls']
       S4_Position12       0102_2R25 ['Pre-irrad_3_141029/MeasurementNo00048.xls']
       S5_Position01       0100_3R15 ['Pre-irrad_3_141029/MeasurementNo00049.xls']
       S5_Position02       0102_3R25 ['Pre-irrad_3_141029/MeasurementNo00050.xls']
       S5_Position03       0100_4R15 ['Pre-irrad_3_141029/MeasurementNo00051.xls']
       S5_Position04       0102_4R25 ['Pre-irrad_3_141029/MeasurementNo00052.xls']
       S5_Position05           EMPTY ['Pre-irrad_3_141029/MeasurementNo00053.xls']
       S5_Position06       0140_1R23 ['Pre-irrad_3_141029/MeasurementNo00054.xls']
       S5_Position07       0142_1R33 ['Pre-irrad_3_141029/MeasurementNo00055.xls']
       S5_Position08       0140_2R23 ['Pre-irrad_3_141029/MeasurementNo00056.xls']
       S5_Position09       0142_2R33 ['Pre-irrad_3_141029/MeasurementNo00057.xls']
       S5_Position10       0140_3R23 ['Pre-irrad_3_141029/MeasurementNo00058.xls']
       S5_Position11       0142_3R33 ['Pre-irrad_3_141029/MeasurementNo00059.xls']
       S5_Position12       0140_4R23 ['Pre-irrad_3_141029/MeasurementNo00060.xls']
       S6_Position01       0142_4R33 ['Pre-irrad_3_141029/MeasurementNo00061.xls']
       S6_Position02       1000_1R34 ['Pre-irrad_3_141029/MeasurementNo00062.xls']
       S6_Position03       1002_1R35 ['Pre-irrad_3_141029/MeasurementNo00063.xls']
       S6_Position04       1000_2R34 ['Pre-irrad_3_141029/MeasurementNo00064.xls']
       S6_Position05       1002_2R35 ['Pre-irrad_3_141029/MeasurementNo00065.xls']
